Description,Trial Name,URL
"Learn about laws and regulations for collecting personal data, using it, and protecting privacy.", Learn Privacy and Data Protection Law,https://trailhead.salesforce.com/content/learn/trails/learn-privacy-and-data-protection-law
"Learn how the powerful features of Marketing Cloud Connect can integrate your sales, marketing, and service data.", Use Marketing Cloud Connect to Integrate with Salesforce CRM,https://trailhead.salesforce.com/content/learn/trails/use-marketing-cloud-connect
Learn how out-of-the-box apps can help you go faster with Analytics.,Accelerate Analytics with Apps,https://trailhead.salesforce.com/content/learn/trails/wave_analytics_apps
Discover Salesforce Success Cloud resources and make the most of your Salesforce implementation.,Achieve Your Goals with Salesforce Success Cloud,https://trailhead.salesforce.com/content/learn/trails/achieve-your-goals-with-success-cloud
Reach all star admin status by tackling more advanced Salesforce features.,Admin Advanced,https://trailhead.salesforce.com/content/learn/trails/force_com_admin_advanced
"Start your #AwesomeAdmin journey by learning the basics of customizing
      Salesforce.",Admin Beginner,https://trailhead.salesforce.com/content/learn/trails/force_com_admin_beginner
Supercharge your skills and apps by using point-and-click tools to solve common business needs.,Admin Intermediate,https://trailhead.salesforce.com/content/learn/trails/force_com_admin_intermediate
Learn the basics for implementing Nonprofit Success Pack.,Administer Nonprofit Success Pack (NPSP),https://trailhead.salesforce.com/content/learn/trails/nonprofit_fundraising
Use your existing .NET skills as a foundation to learning Salesforce Platform fundamentals.,Apply .NET Skills to Salesforce,https://trailhead.salesforce.com/content/learn/trails/microsoft_dotnet
Put your Visualforce knowledge to good use as you learn to develop with Lightning components.,Apply Visualforce Skills to Lightning Components,https://trailhead.salesforce.com/content/learn/trails/lex_dev_lc_vf
"Learn best practices for implementing a Salesforce B2C Commerce functional
      solution.",Apply a Salesforce B2C Commerce Functional Solution,https://trailhead.salesforce.com/content/learn/trails/apply-a-salesforce-b2c-commerce-functional-solution
Learn how to make the most of your business-to-business (B2B) marketing efforts with Pardot.,Automate Marketing to Businesses with Pardot Lightning App,https://trailhead.salesforce.com/content/learn/trails/automate-marketing-to-businesses-with-pardot-lightning-app
Learn how to make the most of your business-to-business (B2B) marketing efforts with Pardot.,Automate Marketing to Businesses with Pardot for Salesforce Classic,https://trailhead.salesforce.com/content/learn/trails/automate-marketing-to-businesses-with-pardot
Optimize your business processes by harnessing the power of Lightning Flow.,Automate Your Business Processes with Lightning Flow,https://trailhead.salesforce.com/content/learn/trails/automate_business_processes
Embrace customer-centric business practices and inspire customer loyalty.,Be the Bank Your Customers Love,https://trailhead.salesforce.com/content/learn/trails/be-the-bank-your-customers-love
Discover how to build social and mobile apps with either clicks or code.,Build Apps Fast with Salesforce Platform Services,https://trailhead.salesforce.com/content/learn/trails/build_apps_fast
Get the tools you need to build and sell your app with the AppExchange Partner Program.,Build Apps as an AppExchange Partner,https://trailhead.salesforce.com/content/learn/trails/isv_developer_beginner
Refine your user experience skills with these powerful tips from the Salesforce UX team.,Build Better with UX,https://trailhead.salesforce.com/content/learn/trails/build-better-ux
Make your apps lean and limitless with a few key strategies.,Build Efficient Applications Without Limits,https://trailhead.salesforce.com/content/learn/trails/build-efficient-applications-without-limits
"Connect your apps, data, and devices with an application network.",Build Great APIs and Integrations with MuleSoft,https://trailhead.salesforce.com/content/learn/trails/great-integrations-mulesoft
Develop reusable Lightning web components using JavaScript and HTML.,Build Lightning Web Components,https://trailhead.salesforce.com/content/learn/trails/build-lightning-web-components
Build and customize a recruiting app in Lightning Experience. No code required.,Build Platform Apps in Lightning Experience,https://trailhead.salesforce.com/content/learn/trails/build-platform-apps-in-lightning-experience
"Develop a B2C Commerce functional strategy and analyze your
    client's needs.",Build Your Career as a Salesforce B2C Commerce Functional Architect,https://trailhead.salesforce.com/content/learn/trails/learn-about-the-role-of-commerce-cloud-functional-architect
"Create a career plan, build communication skills, and earn credentials to succeed in the Salesforce Ohana.",Build Your Career in the Salesforce Ecosystem,https://trailhead.salesforce.com/content/learn/trails/build-your-career-with-salesforce-skills
"Get the best in customer service management education, from agent coaching methods to updates on the latest technology.",Build Your Customer Service Management Toolkit,https://trailhead.salesforce.com/content/learn/trails/build-your-customer-service-management-toolkit
"Showcase products, optimize search and navigation, and run
    campaigns that turn shoppers into loyal customers.",Build Your Ecommerce Site with Salesforce B2C Commerce,https://trailhead.salesforce.com/content/learn/trails/build-ecommerce-site-with-cc-digital
Build a successful consulting practice with Marketing Cloud implementation projects.,Build Your Marketing Cloud Consulting Practice,https://trailhead.salesforce.com/content/learn/trails/build-your-marketing-cloud-consulting-practice
Learn how your firm can make the most of a partnership with Salesforce.,Build Your Practice as a Consulting Partner,https://trailhead.salesforce.com/content/learn/trails/consulting_partner
Learn from the experts at Salesforce how to succeed in the challenging and rewarding world of sales.,Build Your Sales Career,https://trailhead.salesforce.com/content/learn/trails/build-your-sales-career
"Learn how to set up Analytics, bring in your data, and build apps that help your teams
      make great decisions.",Build and Administer Analytics,https://trailhead.salesforce.com/content/learn/trails/wave_analytics_enable_and_produce
Learn from the experts at Salesforce how to build a highly effective sales team.,Build and Manage Your Sales Team the Salesforce Way,https://trailhead.salesforce.com/content/learn/trails/build-and-manage-your-sales-team-the-salesforce-way
Learn how your team can work better together with Quip.,Collaborate with Quip,https://trailhead.salesforce.com/content/learn/trails/get-more-productive-with-quip
Discover the virtues of good content and learn how Content Builder can help you drive customer engagement.,Create Compelling Content with Content Builder,https://trailhead.salesforce.com/content/learn/trails/create-compelling-content-with-content-builder
Learn how to make a positive impact and combat the effects of climate change.,Create a Sustainable Future,https://trailhead.salesforce.com/content/learn/trails/create-a-sustainable-future
Learn how to build and deliver personalized emails that create lasting customer relationships.,Create and Send Targeted Emails with Email Studio,https://trailhead.salesforce.com/content/learn/trails/create-and-send-targeted-emails-with-email-studio
Reflect on the value of diversity and inclusion at work and what you can do to promote equality.,Cultivate Equality at Work,https://trailhead.salesforce.com/content/learn/trails/champion_workplace_equality
"Learn how to optimize and personalize your community with high-impact
            customizations.",Customize Your Community,https://trailhead.salesforce.com/content/learn/trails/customize-your-community
"Build and deploy high-impact, low-effort ways to help reps sell more effectively.",Customize Your Org to Win More Deals,https://trailhead.salesforce.com/content/learn/trails/customize-your-org-to-track-your-competition
"Learn how Health Cloud helps you deliver collaborative, connected support for
            patients and caregivers.",Deliver Great Patient Care with Health Cloud,https://trailhead.salesforce.com/content/learn/trails/deliver-great-patient-care-with-health-cloud
Build integrations to make Slack your hub for collaborative work.,Develop Apps for Slack,https://trailhead.salesforce.com/content/learn/trails/develop-slack-apps
Build apps with open languages and frameworks on Heroku that integrate seamlessly with Salesforce.,Develop Apps with Heroku,https://trailhead.salesforce.com/content/learn/trails/heroku_enterprise
Detect and prevent common vulnerabilities in your code and strengthen your web apps.,Develop Secure Web Apps,https://trailhead.salesforce.com/content/learn/trails/security_developer
"Build apps fast for Lightning Experience with Visualforce, components, and new design resources.",Develop for Lightning Experience,https://trailhead.salesforce.com/content/learn/trails/lex_dev
"Learn about the B2C Commerce developer tools you can use to
    create storefront application projects.",Develop for Salesforce B2C Commerce,https://trailhead.salesforce.com/content/learn/trails/develop-for-commerce-cloud
"Create your own iOS, Android, or hybrid mobile apps powered by the Salesforce
      Platform.",Develop with Mobile SDK,https://trailhead.salesforce.com/content/learn/trails/mobile_sdk_intro
Unlock the power of the platform and develop enterprise-class skills to advance your developer career.,Developer Advanced,https://trailhead.salesforce.com/content/learn/trails/force_com_dev_advanced
"Leverage your existing development skills to build apps fast on the Salesforce
      Platform.",Developer Beginner,https://trailhead.salesforce.com/content/learn/trails/force_com_dev_beginner
Take your apps to the next level with powerful integration and mobile tools.,Developer Intermediate,https://trailhead.salesforce.com/content/learn/trails/force_com_dev_intermediate
"Learn about advanced features to deliver more amazing service to your
            customers.",Discover Advanced Service Cloud Features for Salesforce Classic,https://trailhead.salesforce.com/content/learn/trails/service_develop
Grow your business and boost productivity with Sales Cloud.,Discover Sales Cloud,https://trailhead.salesforce.com/content/learn/trails/discover-sales-cloud
Learn how to use Essentials and why it's an ideal solution for your small business.,Discover Salesforce Essentials,https://trailhead.salesforce.com/content/learn/trails/discover_salesforce_essentials
Use the Sales Cloud platform to optimize your sales operations and set up your team for success.,Drive Sales with Operational Excellence,https://trailhead.salesforce.com/content/learn/trails/drive-sales-with-operational-excellence
"Optimize your service center, answer questions everywhere, resolve cases fast, and delight your customers.",Empower Managers and Agents with the Service Cloud Platform,https://trailhead.salesforce.com/content/learn/trails/empower-managers-and-agents-with-the-service-cloud-platform
Learn effective strategies for driving end user adoption.,Empower Your Salesforce Users,https://trailhead.salesforce.com/content/learn/trails/empower-your-salesforce-users
